iter	Passed	Remaining
184	271	1195
185	272	1193
186	274	1191
187	275	1190
188	277	1190
189	279	1189
190	280	1188
191	282	1187
192	283	1186
193	285	1184
194	286	1183
195	288	1181
196	289	1180
197	291	1179
198	293	1179
199	294	1179
200	295	1176
201	297	1174
202	298	1173
203	300	1172
204	301	1170
205	303	1169
206	304	1167
207	306	1166
208	307	1165
209	309	1163
210	310	1160
211	311	1159
212	313	1157
213	315	1157
214	316	1155
215	317	1153
216	319	1152
217	320	1151
218	322	1150
219	324	1150
220	325	1148
221	327	1147
222	328	1146
223	330	1145
224	332	1143
225	333	1142
226	335	1140
227	336	1139
228	338	1138
229	339	1136
230	340	1135
231	342	1133
232	343	1131
233	345	1129
234	346	1128
235	348	1126
236	349	1125
237	350	1123
238	352	1121
239	353	1119
240	355	1118
241	356	1117
242	358	1116
243	359	1115
244	361	1114
245	363	1113
246	364	1111
247	366	1110
248	367	1108
249	368	1106
250	370	1104
251	371	1102
252	372	1100
253	374	1098
254	375	1097
255	376	1095
256	378	1093
257	379	1092
258	381	1091
259	383	1090
260	384	1089
261	386	1088
262	388	1088
263	390	1087
264	391	1085
265	393	1084
266	394	1082
267	395	1081
268	397	1079
269	398	1077
270	400	1076
271	401	1074
272	402	1073
273	404	1071
274	405	1070
275	407	1068
276	408	1067
277	410	1065
278	411	1064
279	413	1062
280	414	1060
281	416	1059
282	418	1059
283	419	1057
284	420	1056
285	422	1054
286	423	1053
287	425	1051
288	438	1077
289	439	1076
290	441	1074
291	442	1073
292	444	1071
293	445	1070
294	447	1068
295	448	1066
296	450	1066
297	452	1065
298	453	1064
299	455	1062
300	456	1061
301	458	1059
302	459	1057
303	461	1055
304	462	1054
305	464	1052
306	465	1051
307	467	1049
308	468	1048
309	470	1046
310	471	1044
311	472	1042
312	474	1040
313	475	1038
314	476	1037
315	478	1035
316	480	1034
317	481	1033
318	483	1031
319	484	1029
320	486	1028
321	488	1027
322	489	1026
323	490	1024
324	492	1022
325	493	1020
326	495	1019
327	496	1017
328	498	1016
329	499	1014
330	501	1012
331	502	1011
332	504	1009
333	505	1007
334	506	1005
335	508	1004
336	509	1002
337	510	1000
338	512	998
339	514	998
340	515	996
341	516	994
342	518	993
343	520	991
344	521	990
345	522	988
346	524	986
347	525	985
348	527	983
349	528	981
350	529	979
351	531	978
352	532	976
353	534	974
354	535	973
355	537	971
356	538	969
357	539	968
358	541	966
359	543	965
360	544	964
361	546	962
362	547	960
363	549	959
364	550	957
365	551	956
366	553	954
367	554	952
368	556	951
369	557	949
370	559	947
371	560	945
372	561	944
373	563	942
374	564	941
375	565	939
376	567	937
377	568	935
378	570	934
379	571	932
380	573	931
381	574	929
382	576	928
383	577	926
384	579	925
385	580	923
386	582	922
387	583	920
388	584	918
389	586	917
390	588	916
391	589	914
392	591	913
393	592	911
394	593	909
395	595	907
396	596	906
397	598	904
398	599	902
399	600	900
400	601	899
401	603	897
402	604	895
403	606	894
404	607	892
405	609	891
406	610	889
407	612	888
408	613	886
409	615	885
410	616	883
411	618	882
412	619	880
413	621	879
414	622	877
415	624	876
416	625	874
417	626	872
418	628	871
419	630	870
420	631	868
421	632	866
422	634	865
423	635	863
424	637	862
425	639	861
426	640	859
427	641	857
428	643	857
429	645	855
430	646	853
431	648	852
432	649	850
433	650	848
434	652	846
435	653	845
436	654	843
437	656	841
438	657	840
439	658	838
440	660	836
441	661	835
442	663	833
443	664	832
444	665	830
445	667	829
446	669	828
447	670	826
448	672	825
449	673	823
450	675	822
451	676	820
452	677	818
453	679	816
454	680	815
455	682	813
456	683	812
457	684	810
458	686	808
459	687	807
460	689	806
461	690	804
462	692	802
463	693	800
464	694	799
465	695	797
466	697	795
467	698	794
468	700	792
469	701	791
470	703	789
471	704	788
472	706	786
473	707	784
474	708	783
475	710	781
476	711	779
477	712	778
478	714	776
479	715	775
480	717	773
481	718	772
482	720	771
483	722	769
484	723	768
485	725	766
486	726	765
487	727	763
488	729	762
489	731	761
490	732	759
491	734	758
492	735	756
493	737	755
494	738	753
495	740	752
496	741	750
497	743	749
498	744	747
499	746	746
500	747	744
501	749	743
502	750	741
503	751	739
504	753	738
505	755	737
506	756	735
507	757	734
508	759	732
509	761	731
510	763	730
511	764	729
512	766	727
513	768	726
514	769	724
515	771	723
516	772	721
517	773	720
518	775	718
519	776	716
520	778	715
521	779	713
522	780	712
523	782	710
524	783	709
525	785	707
526	786	706
527	788	704
528	789	702
529	791	701
530	793	700
531	794	699
532	796	697
533	797	696
534	799	694
535	800	693
536	802	691
537	803	689
538	804	688
539	806	686
540	807	685
541	808	683
542	810	682
543	811	680
544	813	679
545	815	677
546	816	676
547	817	674
548	819	673
549	820	671
550	822	670
551	823	668
552	825	667
553	826	665
554	828	664
555	829	662
556	831	661
557	832	659
558	834	658
559	836	656
560	837	655
561	838	653
562	840	652
563	841	650
564	842	649
565	844	647
566	845	645
567	847	644
568	848	642
569	850	641
570	851	639
571	852	638
572	854	636
573	855	635
574	857	633
575	858	632
576	859	630
577	861	628
578	862	627
579	864	625
580	865	624
581	866	622
582	868	620
583	869	619
584	870	617
585	872	616
586	873	614
587	874	613
588	876	611
589	877	609
590	879	608
591	880	606
592	881	605
593	883	603
594	884	602
595	886	600
596	887	599
597	889	597
598	890	596
599	892	594
600	893	593
601	895	592
602	897	590
603	898	589
604	900	587
605	901	586
606	902	584
607	904	582
608	905	581
609	907	579
610	908	578
611	910	577
612	911	575
613	913	573
614	914	572
615	915	570
616	917	569
617	919	568
618	920	566
619	921	565
620	923	563
621	924	562
622	926	560
623	927	558
624	928	557
625	929	555
626	931	554
627	932	552
628	934	551
629	935	549
630	937	548
631	938	546
632	940	545
633	941	543
634	942	542
635	944	540
636	945	538
637	947	537
638	949	536
639	950	534
640	952	533
641	953	531
642	955	530
643	957	529
644	958	527
645	959	526
646	960	524
647	962	522
648	964	521
649	965	519
650	967	518
651	968	516
652	970	515
653	971	514
654	973	512
655	974	510
656	975	509
657	977	507
658	979	506
659	980	504
660	981	503
661	983	502
662	984	500
663	986	499
664	987	497
665	989	496
666	990	494
667	992	493
668	993	491
669	995	490
670	996	488
671	998	487
672	1000	485
673	1002	484
674	1003	483
675	1005	481
676	1006	480
677	1008	478
678	1009	477
679	1012	476
680	1014	475
681	1015	473
682	1017	472
683	1018	470
684	1020	469
685	1022	467
686	1023	466
687	1025	465
688	1027	463
689	1028	462
690	1029	460
691	1030	458
692	1032	457
693	1034	455
694	1035	454
695	1037	453
696	1038	451
697	1040	450
698	1043	449
699	1044	447
700	1046	446
701	1048	444
702	1049	443
703	1050	441
704	1052	440
705	1053	438
706	1055	437
707	1057	436
708	1058	434
709	1060	433
710	1062	431
711	1063	430
712	1065	428
713	1066	427
714	1068	425
715	1069	424
716	1071	422
717	1072	421
718	1074	419
719	1075	418
720	1077	416
721	1078	415
722	1080	414
723	1082	412
724	1083	411
725	1085	409
726	1086	408
727	1088	406
728	1089	405
729	1091	403
730	1092	402
731	1094	400
732	1095	399
733	1097	397
734	1099	396
735	1100	394
736	1102	393
737	1104	392
738	1105	390
739	1107	389
740	1108	387
741	1110	386
742	1112	384
743	1113	383
744	1115	381
745	1116	380
746	1118	378
747	1120	377
748	1121	375
749	1122	374
750	1124	372
751	1125	371
752	1127	369
753	1128	368
754	1130	366
755	1131	365
756	1134	364
757	1136	362
758	1137	361
759	1139	359
760	1141	358
761	1143	357
762	1144	355
763	1146	354
764	1147	352
765	1149	351
766	1151	349
767	1152	348
768	1153	346
769	1155	345
770	1157	343
771	1158	342
772	1160	340
773	1161	339
774	1163	337
775	1165	336
776	1167	334
777	1168	333
778	1170	332
779	1172	330
780	1173	329
781	1175	327
782	1176	326
783	1178	324
784	1180	323
785	1181	321
786	1183	320
787	1185	318
788	1187	317
789	1189	316
790	1190	314
791	1192	313
792	1194	311
793	1195	310
794	1198	308
795	1199	307
796	1201	305
797	1203	304
798	1204	303
799	1206	301
800	1207	300
801	1209	298
802	1211	297
803	1212	295
804	1214	294
805	1216	292
806	1217	291
807	1219	289
808	1221	288
809	1222	286
810	1224	285
811	1225	283
812	1228	282
813	1230	281
814	1231	279
815	1233	278
816	1235	276
817	1236	275
818	1238	273
819	1239	272
820	1241	270
821	1243	269
822	1244	267
823	1245	266
824	1247	264
825	1261	265
826	1262	264
827	1264	262
828	1265	261
829	1267	259
830	1268	258
831	1269	256
832	1271	254
833	1272	253
834	1274	251
835	1275	250
836	1277	248
837	1278	247
838	1280	245
839	1282	244
840	1283	242
841	1284	241
842	1286	239
843	1289	238
844	1290	236
845	1292	235
846	1293	233
847	1295	232
848	1296	230
849	1298	229
850	1299	227
851	1301	226
852	1302	224
853	1304	223
854	1305	221
855	1307	219
856	1308	218
857	1310	216
858	1311	215
859	1313	213
860	1314	212
861	1316	210
862	1317	209
863	1319	207
864	1321	206
865	1322	204
866	1324	203
867	1325	201
868	1327	200
869	1328	198
870	1330	197
871	1331	195
872	1333	193
873	1335	192
874	1336	190
875	1337	189
876	1339	187
877	1341	186
878	1342	184
879	1344	183
880	1345	181
881	1347	180
882	1348	178
883	1350	177
884	1352	175
885	1353	174
886	1355	172
887	1356	171
888	1358	169
889	1359	168
890	1360	166
891	1362	164
892	1363	163
893	1365	161
894	1366	160
895	1367	158
896	1369	157
897	1370	155
898	1372	154
899	1373	152
900	1375	151
901	1376	149
902	1378	148
903	1379	146
904	1380	144
905	1382	143
906	1384	141
907	1385	140
908	1387	138
909	1388	137
910	1390	135
911	1391	134
912	1393	132
913	1394	131
914	1396	129
915	1397	128
916	1399	126
917	1400	125
918	1402	123
919	1403	122
920	1405	120
921	1406	118
922	1408	117
923	1409	115
924	1410	114
925	1412	112
926	1414	111
927	1416	109
928	1418	108
929	1420	106
930	1422	105
931	1423	103
932	1425	102
933	1427	100
934	1428	99
935	1430	97
936	1431	96
937	1433	94
938	1435	93
939	1436	91
940	1437	90
941	1439	88
942	1440	87
943	1443	85
944	1444	84
945	1446	82
946	1448	81
947	1449	79
948	1451	77
949	1452	76
950	1454	74
951	1455	73
952	1457	71
953	1458	70
954	1459	68
955	1461	67
956	1462	65
957	1464	64
958	1465	62
959	1467	61
960	1468	59
961	1470	58
962	1471	56
963	1472	55
964	1474	53
965	1476	51
966	1477	50
967	1479	48
968	1480	47
969	1482	45
970	1483	44
971	1484	42
972	1486	41
973	1487	39
974	1488	38
975	1490	36
976	1491	35
977	1493	33
978	1494	32
979	1495	30
980	1497	28
981	1498	27
982	1499	25
983	1501	24
984	1502	22
985	1504	21
986	1506	19
987	1508	18
988	1509	16
989	1511	15
990	1512	13
991	1514	12
992	1515	10
993	1517	9
994	1518	7
995	1519	6
996	1521	4
997	1522	3
998	1524	1
999	1525	0
